,const,user_gpt35_ratio,nsamples,temporal_extension,user_first_entry,user_first_entry_X_temporal_extension,mean_turns,mean_conversation_length,mean_prompt_length,language_Arabic,language_Bokmal,language_Bulgarian,language_Catalan,language_Chinese,language_Croatian,language_Czech,language_Dutch,language_English,language_Esperanto,language_Estonian,language_Finnish,language_French,language_German,language_Hebrew,language_Hungarian,language_Indonesian,language_Italian,language_Japanese,language_Korean,language_Latin,language_Lithuanian,language_Macedonian,language_Malay,language_Maori,language_Nolang,language_Persian,language_Polish,language_Portuguese,language_Romanian,language_Russian,language_Slovak,language_Slovene,language_Spanish,language_Swedish,language_Tagalog,language_Tsonga,language_Tswana,language_Turkish,language_Ukrainian,language_Vietnamese,language_Welsh,language_Yoruba,location_Algeria,location_Argentina,location_Armenia,location_Aruba,location_Australia,location_Austria,location_Azerbaijan,location_Bangladesh,location_Belarus,location_Belgium,location_Bolivia,location_Brazil,location_Bulgaria,location_Cambodia,location_Cameroon,location_Canada,location_Chile,location_China,location_Colombia,location_Costa Rica,location_Cuba,location_Cyprus,location_Czechia,location_Denmark,location_Dominican Republic,location_Ecuador,location_Egypt,location_El Salvador,location_Estonia,location_Ethiopia,location_Finland,location_France,location_Georgia,location_Germany,location_Gibraltar,location_Greece,location_Hong Kong,location_Hungary,location_India,location_Indonesia,location_Iran,location_Iraq,location_Ireland,location_Israel,location_Italy,location_Jamaica,location_Japan,location_Jordan,location_Kazakhstan,location_Kenya,location_Kosovo,location_Kyrgyzstan,location_Latvia,location_Lebanon,location_Lithuania,location_Luxembourg,location_Macao,location_Madagascar,location_Malaysia,location_Malta,location_Mauritius,location_Mexico,location_Moldova,location_Morocco,location_Myanmar,location_Nepal,location_New Zealand,location_Nigeria,location_North Macedonia,location_Norway,location_Pakistan,location_Palestine,location_Panama,location_Peru,location_Philippines,location_Poland,location_Portugal,location_Qatar,location_Romania,location_Russia,location_Saudi Arabia,location_Senegal,location_Serbia,location_Singapore,location_Slovakia,location_Slovenia,location_South Africa,location_South Korea,location_Spain,location_Sri Lanka,location_St Vincent and Grenadines,location_Sweden,location_Switzerland,location_Syria,location_Taiwan,location_Tajikistan,location_Thailand,location_The Netherlands,location_Trinidad and Tobago,location_Tunisia,location_Türkiye,location_Uganda,location_Ukraine,location_United Arab Emirates,location_United Kingdom,location_United States,location_Uruguay,location_Uzbekistan,location_Venezuela,location_Vietnam,location_Yemen,location_Zambia
1,1.0,0.05263157894736842,19,1.926632128181382,112,215.7827983563148,3.1578947368421053,3029.9473684210525,110.89473684210526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1.0,0.0106951871657754,187,6.323474578907781,45,284.5563560508502,3.4010695187165774,8537.283422459894,3206.229946524064,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1.0,0.0,135,2.915791167836052,92,268.2527874409168,3.5407407407407407,3257.614814814815,809.4074074074074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1.0,0.0,7,0.4948716593053935,96,47.50767929331778,7.142857142857143,5991.714285714285,228.28571428571428,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1.0,0.0,6,0.0,123,0.0,5.333333333333333,26681.166666666668,20163.166666666668,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1.0,0.0,42,0.7126966450997985,90,64.14269805898186,12.238095238095235,39637.28571428572,24049.73809523809,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1.0,0.0,30,8.433794453796517,99,834.9456509258553,2.0,1151.5666666666666,269.6666666666667,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
29,1.0,0.0,10,0.4898979485566356,123,60.25744767246618,5.0,5762.8,309.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1.0,0.0,1523,3.363642507913816,118,396.90981593383026,3.6414970453053184,8012.439264609324,2364.024950755089,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
42,1.0,0.0,39,6.249260311258431,106,662.4215929933937,2.0,1799.3846153846157,262.46153846153845,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
