,concept_diversity
1,15.323764342878338
13,16.323719371091983
16,16.06905745797337
19,16.05356697988345
20,17.430032635485215
22,15.446488211776302
24,15.81270962564044
29,16.153671712901673
33,16.84873479297554
42,16.140629181234203
48,17.145579658939386
60,17.007301582959787
62,15.554332435557148
63,15.899210594815132
64,16.118857564875498
66,17.17178028012225
81,15.80987043955925
83,16.486180906481323
110,16.065845316981832
112,15.748584755964766
117,16.719410504857414
121,16.35794350271012
122,16.01059661771947
124,13.906707291645176
132,17.065690697324552
138,16.024167162479465
145,16.192232486211875
155,16.00233896909145
156,16.71311307691327
157,17.22594043783691
163,15.483013975614966
168,16.474227347418974
175,17.895537564496294
177,16.386136293186706
180,16.63510961308915
184,14.583419597694958
194,15.12291487156122
195,15.99896072997178
201,15.797732384634504
216,15.90791632384806
219,16.922744443539376
224,16.08624412763548
229,13.426247417186593
231,17.56665732514083
238,16.036430645342154
240,15.662996314610226
242,16.650850534328814
244,17.382217698374372
254,16.432047151245758
257,15.463164001826852
261,16.85951841614311
262,17.002872347585207
264,16.54106207405398
267,16.994455075024426
290,16.54830634970036
293,17.002796356818422
296,15.505775792711685
300,16.76917401732537
303,17.252100971881255
304,15.845454006209422
307,16.49865800637176
316,16.781880801814047
317,16.40403521227025
326,16.791046446546762
333,16.58294132167153
340,16.2107657318638
342,15.26018953299775
346,16.064587255976434
354,17.541469309530353
367,15.713944723519344
368,18.269342376301694
371,16.850172454016494
374,16.508502988487336
377,17.695582604246166
383,15.134689785095542
390,15.646259733134332
396,16.240981258102526
397,17.231567986077383
398,15.728790148992918
407,14.905866508890435
412,15.557523963430688
413,15.715265615977833
416,16.39545310542889
417,17.921265293197813
429,16.488723263026905
431,16.854835292910565
438,15.743874696302145
444,16.913756793358424
445,17.62101517560349
447,15.743541333027132
455,16.72721812403427
460,17.787915370824805
461,17.09921872590125
462,17.662153666559128
463,15.578429372718912
464,17.354297715120023
469,16.51254205603086
480,15.929513392714318
490,14.824841150181197
495,17.729476445747537
497,16.259690203253154
500,16.042405677716715
505,14.299289558315529
514,16.902453479201693
515,16.90165923771143
517,16.494755330270408
518,15.611968381380487
521,15.743002443448283
524,16.9081813313441
526,15.7572212676486
527,15.656913498225
531,17.72230972703428
533,15.118114594642794
538,16.272451339918042
547,16.803609896721508
550,16.065290859182987
554,17.36640934101616
559,15.232779230846152
565,15.530962851171967
566,17.486874047011003
570,13.918092913621056
572,16.864063597102934
579,15.13737808458319
583,18.13047903681772
587,17.509384955838296
593,16.735586734393458
596,16.14141881310609
599,16.923903051976602
600,15.771383585942404
601,15.480479523257047
604,16.285133827679665
610,16.797190998509574
617,17.079332876670744
631,16.636101002137707
633,17.048503469938403
643,16.343800786143785
645,17.098185092681284
666,16.035190951830526
667,16.802582654155778
678,15.412559838179751
683,17.258703443216998
685,18.86260952293713
690,14.615837771163417
691,13.823430954764936
697,17.025136150650148
700,16.54083966183867
702,16.65873954756116
725,15.71662393830093
727,17.36429367206363
735,16.88505450551598
740,15.46576252072477
741,17.075912147393957
744,16.674083219630067
747,16.023422706363046
749,17.795231034445365
754,16.619007303472923
755,15.410816128848705
758,15.671533540418649
762,16.44943148733028
771,16.93309210136292
772,15.680285612155224
776,17.091992204295014
780,16.10780429384637
783,16.8876033826523
784,15.720542564468948
786,15.956057687731231
789,16.999434350765434
793,16.755214827896534
807,16.892088436526503
820,17.03789612889572
823,15.739948864874844
827,15.213315937751911
838,16.441439055398217
839,17.342848561097554
845,16.086017022475456
847,15.225882395148432
856,17.591749973081765
863,16.492974869746895
865,18.164981104323616
871,14.970582785565377
881,14.884031715309696
889,15.151688555749764
891,17.106335592049902
899,16.31934985279253
903,16.85920363041219
915,14.545865497014931
917,16.751050909571227
922,15.86054373883003
933,15.436849925011154
936,16.005333711208674
940,14.909010115912842
945,16.53241193156548
949,16.358834572353707
954,15.740615533828455
962,15.956708834868268
968,16.057428623161528
970,15.721292569468735
971,15.950867109352355
976,14.225288554630998
981,16.946931745496624
985,15.796914360770058
987,15.486022385413602
993,17.221277973118273
998,17.01302680479738
1001,16.91031330899545
1003,16.923289633534313
1005,16.24099722949138
1010,17.77900273538474
1030,15.843475029724337
1034,17.028283734027692
1036,16.83340373679145
1041,15.445365803471365
1049,17.848066984623987
1057,16.693539872380583
1062,17.251232864327026
1063,15.5922748079812
1064,13.28686264087911
1069,16.536045503835958
1074,16.54630015474891
1076,16.359284083123963
1077,14.964338876214596
1078,16.49080206598174
1083,17.532204126200266
1084,16.740219614800495
1094,15.530980604371369
1095,17.105260797715793
1098,17.676574986386306
1101,13.990535282742412
1103,16.81023223809912
1116,16.180688285200624
1123,17.56203817996656
1124,15.836909972784044
1131,17.92593025804031
1134,15.908067775064543
1138,17.17449446719315
1143,16.574673053498206
1145,14.394314874243554
1148,15.013194773299643
1157,16.41981333671325
1166,16.63495414635297
1169,16.659616390824063
1170,15.561817188651696
1173,18.388330806464552
1175,14.823680622326394
1182,16.71704466799922
1194,14.97096544376212
1195,17.304768575779363
1202,16.632128433295613
1204,16.252114833629296
1210,16.843387600692463
1212,17.05228356995215
1216,17.014265407500186
1229,14.560043632147105
1232,17.286555125329393
1233,17.081974097388724
1236,16.545779585150324
1246,17.132409770062264
1250,12.732019062260193
1251,16.97827440034822
1253,14.72861431749349
1256,14.955817464297947
1261,16.792412087143887
1264,16.116013439807563
1266,15.69350310707751
1275,16.753627374888964
1286,16.96037924233149
1297,16.14911621761318
1314,16.06269735070095
1317,15.36297223801114
1321,15.6995284117673
1322,16.422902415501124
1323,16.044735948990965
1324,14.69498228141078
1333,17.694071918083317
1337,15.39572592077456
1339,13.37919824905828
1340,16.416324865934044
1341,15.351843802727178
1344,16.360916817866073
1347,16.003625481253167
1348,17.020404217274304
1357,15.93698683092473
1360,15.921204743566456
1372,15.746923625013205
1383,16.610574895092665
1386,17.289795073761447
1387,16.448350430606308
1388,17.47207819646522
1390,15.366513621386892
1393,15.61918689607767
1398,16.723363321227755
1404,15.439393938629324
1405,16.686593999964007
1408,16.405070875752614
1409,16.822946771394438
1417,16.858899381413586
1419,17.10918462292643
1426,16.17841049686607
1430,18.295842891624645
1435,16.704378195175394
1439,15.980857058933235
1440,15.75882455277535
1441,14.423443129984102
1442,17.778717312850148
1461,15.45663120920539
1465,17.761543711808976
1472,16.81736165494036
1475,16.889192470703478
1479,16.089669668798713
1488,15.295576840615254
1489,16.55529670249825
1490,14.680417529098332
1491,16.048303912557575
1492,14.828202025861478
1494,14.156615687704583
1498,15.188611910982786
1499,15.526903772437946
1506,17.766535189142985
1508,15.139688286797814
1512,15.809028987643597
1525,16.216659774490385
1529,15.829214834584636
1540,16.327649815484122
1543,16.41148349801347
1552,16.020974406327444
1553,13.13764555366862
1561,15.028778273710488
1563,17.478268903227054
1565,17.628659551636098
1571,17.014916253095222
1575,17.534505480912074
1576,16.694187384547188
1577,16.763763220031247
1581,17.396693365555002
1588,15.888350005494964
1598,15.09619783312308
1599,13.85562740185994
1600,16.367472528825765
1601,17.04986419879544
1604,16.174745302558915
1609,15.02413278585105
1610,17.231592448301683
1611,15.73150172770488
1629,15.539854998450233
1639,17.488303618356916
1644,15.443901194834009
1657,16.02888720739476
1663,15.261450364593866
1665,15.525601604486546
1675,16.704897705972545
1677,16.498057120322475
1690,15.463976173273757
1699,17.50802425518717
1702,14.924790812523684
1714,16.757830797319034
1720,15.204761933332524
1723,16.21256462609851
1725,15.53481040858508
1729,15.689657758679289
1735,16.906194361986064
1736,16.645751092244556
1746,17.198642343462183
1758,15.471261591639085
1761,15.994093423492352
1762,14.28336795222975
1768,16.880520789963615
1770,15.327617065423253
1779,17.445343899739935
1780,14.689105084173578
1783,16.55102371603718
1784,16.323729755692014
1791,17.216489971698277
1796,16.497244276853085
1798,16.31961213691581
1803,15.226752511973054
1806,18.097162602992388
1809,16.826285038845036
1813,15.78729542519933
1820,16.216056534777554
1822,16.736254008379404
1824,15.34725768767012
1831,16.417268664398183
1836,17.25628406239872
1842,16.768415079302596
1843,15.251830293937411
1858,16.042025591611825
1860,15.96094729476382
1862,17.37283848815068
1863,16.203357702384437
1864,16.785373335822737
1867,14.622266214370512
1869,17.315779395476696
1871,15.316972689517788
1875,16.825389514516395
1876,16.067742992049006
1886,15.54564659626902
1889,14.436136612478824
1897,14.81128985015864
1901,16.077540766259727
1904,16.828565356247815
1906,17.806049964356788
1907,16.03267570139143
1913,16.613807896139264
1922,17.274614658399415
1927,15.90530446489699
1947,17.234212577256372
1954,15.77096632866603
1980,16.620650160647713
1985,15.454866359402306
1989,17.152688621869583
1990,16.96807348885174
1991,16.322252394217145
1992,13.581953227596474
1995,15.61486713160287
1998,14.446626636347764
2002,16.97452473873938
2004,12.949475710798591
2008,16.455875489689788
2014,17.54775782458291
2019,16.04453543820564
2023,16.582034626278798
2024,16.16548958338016
2026,16.585315600860785
2032,15.056787287346738
2043,12.37312844074982
2050,18.767146630796315
2054,16.695083921759892
2056,16.264078050463755
2057,16.14189449769584
2058,14.613559567698251
2059,16.021691478655224
2060,17.025712888163802
2067,16.677455445052562
2068,14.355606166504993
2069,15.678485022229774
2070,16.40358736178735
2077,13.688937465064654
2086,16.441009171582643
2088,15.799851161640165
2091,16.600239066683375
2094,17.028096369602615
2096,16.266642698779577
2099,16.54377732333873
2102,14.7061891628691
2105,16.19174979462273
2108,16.603216173766246
2118,17.033645407800513
2135,16.364376744404325
2138,16.06371102187623
2142,16.969099676209577
2144,17.22942884193992
2150,14.091003158178264
2151,17.110237364031352
2153,17.217978847079056
2161,15.518010523709862
2167,17.479639776081335
2171,16.199179994020323
2176,17.43895192231717
2182,17.66104356241951
2185,16.107279218947987
2186,16.35287043459334
2192,17.15714540897598
2197,17.456812252635775
2201,17.60305490553608
2204,17.124906867614527
2206,16.386675527319955
2224,16.490382220335626
2226,16.744656606272443
2228,14.408977178820209
2234,16.449302368314072
2244,15.970451500826936
2251,16.82645317036362
2256,15.980620907424944
2257,16.92745930066562
2261,15.948463654322776
2263,15.13215912558467
2264,16.61984214289339
2271,15.641823049970204
2272,17.54760000740783
2273,15.637452349337286
2279,15.935952538322857
2280,15.985001234787465
2288,15.341819234577246
2294,16.143287298055306
2298,11.872057691812628
2306,18.06980729527564
2312,17.07592563563873
2317,15.838210282512856
2318,13.160251612569247
2319,15.44895313203887
2320,15.337285791167057
2321,16.494232336820353
2324,17.69366103859826
2326,18.07819982493339
2327,15.153380896991756
2329,16.890420376845686
2334,16.47345741219736
2335,17.756855142269163
2338,17.915340626902267
2339,16.843338746765628
2346,15.53233739588346
2354,16.312787185529167
2357,15.224077398236984
2358,16.977293464654785
2361,15.314488055077303
2363,15.12993175488572
2365,15.815436299075651
2368,15.113314005661726
2372,16.495893956401034
2380,17.11391941204705
2386,17.22290033980232
2392,16.213608962231262
2402,15.726147724168964
2405,13.977999824779658
2410,18.150239632731864
2411,16.42189277298623
2415,16.697559771948214
2420,16.40022570019192
2427,16.02766999224669
2428,15.723916198877577
2438,17.78794764504371
2442,15.746061594608571
2443,15.652737024944466
2445,16.190702753142986
2446,16.080758296665447
2453,17.086896553535308
2456,15.742001208741808
2466,15.913151559129847
2467,16.45771413754466
2470,16.676035962637503
2471,16.89648810470971
2473,16.88222706502796
2489,16.56065615688773
2493,16.941454666635998
2498,17.263772137308717
2504,13.89432519043533
2505,16.11901311846719
2509,16.467546087949398
2510,15.262948429430995
2513,16.341838601331485
2517,17.15953687976206
2520,14.522575188448377
2539,16.154500508380213
2540,17.47593979494221
2547,16.2666201767434
2548,15.959852543010808
2549,15.672890338863535
2556,16.18351945548797
2557,18.183440198758213
2560,17.68072747988985
2562,17.324447248506942
2570,16.912493020307306
2571,14.1899363250807
2573,15.921952394239115
2593,15.66742519078564
2595,15.340694397557748
2596,16.36312817022282
2604,16.85811234792477
2606,16.415130301807018
2613,16.02407174051004
2615,16.407867099872952
2617,15.796899074782708
2620,16.540716503537087
2622,13.115670767157722
2624,16.294202317013212
2630,16.02537301652413
2638,16.906114764488347
2643,16.19611973155499
2650,17.287226479870913
2651,17.12018152810379
2654,17.124617315744658
2658,17.066700045486122
2675,18.057861472556663
2678,16.723138325146238
2684,16.276976688498102
2690,16.375391256493884
2696,16.54940077898491
2703,17.786998990757635
2704,17.11073198742569
2706,15.392193322090383
2708,15.952166139706089
2711,15.321536818789474
2713,16.90920349640632
2715,17.223281401037756
2731,14.914540110705696
2735,15.649884660723185
2736,15.67589268173826
2737,17.86691854644961
2741,17.06057048660892
2744,15.258967720512713
2753,16.492676324611036
2754,17.946170966915236
2755,16.10388569021176
2759,18.50330350766521
2760,15.94681287539262
2767,16.349768361876603
2770,16.10852890842423
2772,18.42847508499857
2773,16.10128582111414
2775,16.199871438213222
2778,17.02501521184315
2779,16.40991646026019
2794,15.224973970977734
2803,17.37351774385083
2804,16.578314320142955
2805,16.742585981548856
2814,15.8837241596863
2815,14.30408475505208
2816,14.365343810434169
2817,16.92984573303324
2820,16.57750611753679
2821,15.356436213237885
2822,16.050960208223287
2831,15.51330306644262
2833,16.66258094423592
2834,16.26466002985028
2840,17.978441534102622
2847,16.154784136479194
2853,15.864227450673951
2865,14.227236775382918
2866,16.727601092214048
2871,17.49523218664571
2872,17.777402101902947
2880,14.699427801468447
2885,16.72702655538518
2886,15.534367161498976
2887,15.880874604536723
2890,16.935545387698152
2898,16.62389010573858
2900,15.855123055674383
2902,15.460620950690458
2904,17.18877630209716
2909,16.44579042275274
2910,16.077434000612875
2913,16.818543889828717
2915,14.32314946047357
2916,16.892363564164018
2921,15.630084323316522
2940,15.304045707024152
2948,16.040520307439817
2955,16.801029922974912
2957,17.14713995681626
2961,16.861658639223144
2971,17.672306852588996
2972,16.890298191758827
2973,18.197735553178266
2983,15.718648441252144
2992,17.054361972246006
2996,14.504803758551976
3002,16.76936201400003
3003,15.561997443222324
3006,17.12361154096324
3013,18.170386470165447
3015,17.01456948889964
3021,17.068092411937823
3024,16.51629255728315
3032,17.269410757299188
3039,17.505851616494088
3042,15.061546769533432
3070,15.891660088335056
3071,16.72617826518602
3075,16.829231653416375
3090,16.56393288300314
3091,16.510066682988807
3096,15.409791285980576
3097,15.638545572882906
3098,15.50641956542597
3099,16.194542051702616
3100,15.96648875715545
3101,15.813358145279436
3102,14.962130974374384
3103,15.640276830405451
3104,15.870751421124345
3105,15.136782330808217
3106,14.895183355107363
3107,15.412109039757066
3108,15.513429820936002
3109,16.253114307159557
3110,15.85470832275492
3111,16.04116792734036
3112,16.120293964134632
3113,15.36542348104071
3114,15.720223109011265
3115,15.9097837294923
3116,15.483310716589544
3117,15.605225597245012
3118,15.977971973782394
3119,15.830691297175154
3120,15.834795393726552
3121,16.606132592393422
3123,16.429448543908876
3128,13.743273648592464
3131,15.382819735814875
3136,17.664794670125644
3138,15.453292221853012
3142,16.942985575201284
3146,16.861655861865703
3153,17.309728139120278
3154,17.145190647326007
3158,15.596735262065694
3160,16.19755308708791
3162,17.396003103744604
3174,17.091874040875126
3188,15.900809635160256
3192,17.542746997629813
3195,17.291892255791854
3196,15.80236913799988
3205,16.494228852905614
3210,15.274717718467109
3212,16.340785294680853
3214,17.670719836885407
3215,15.811000850965858
3221,16.696161674238702
3224,13.976141239408186
3228,16.3862020012205
3239,15.49973003027779
3248,15.793395063027305
3255,16.57321953056067
3257,17.66807944804753
3260,16.975794817614197
3266,18.159813311226355
3269,18.39522043075833
3272,13.790608368899765
3273,16.882279636001183
3274,16.0359805110898
3284,15.926797301344113
3285,17.38250354250156
3288,13.158155801527355
3289,17.536516798207174
3292,16.33836402716368
3294,16.862510171804427
3296,15.652584163860126
3301,13.973203726357315
3309,17.095116080800718
3311,17.781835915659443
3314,17.175618113464736
3316,16.652179618054358
3317,15.137917951650488
3330,15.099674373753349
3333,16.000056218708206
3336,16.78645738192972
3339,14.758249477254012
3343,16.924563247943976
3345,14.30835876576636
3356,15.492498021957015
3362,16.348866712556074
3363,14.31608670820937
3365,14.695688433091355
3376,16.91447509740852
3384,14.971176531166764
3387,15.39101100878991
3390,15.320397277701048
3394,15.960948013911208
3395,17.544903665864048
3398,16.74440895450494
3402,15.193814834562218
3404,18.056169498104342
3405,17.94752146604624
3411,17.35077905806452
3416,15.099967783027209
3430,16.52134238674649
3431,17.214624941310042
3433,15.550084421914962
3443,16.593404155305453
3450,17.512344832003393
3456,14.820830287835816
3457,15.872766748456677
3460,16.187533739452327
3463,17.03663754152082
